"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
100023,100024,"Torriano Infant School","Parent","15-09-2015"
100037,100038,"St Aloysius Roman Catholic Infant School","Parent","16-01-2017"
100050,132838,"LaSWAP Sixth Form","Sixth Form Centre Link",""
100053,132838,"LaSWAP Sixth Form","Sixth Form Centre Link",""
100056,132838,"LaSWAP Sixth Form","Sixth Form Centre Link",""
100059,132838,"LaSWAP Sixth Form","Sixth Form Centre Link",""
100096,126575,"Franklin Delano Roosevelt School","Parent",""
100096,126576,"John Keats Special School","Parent",""
100096,100093,"Jack Taylor School","Parent","01-02-2012"
100103,100104,"Briset Centre","Parent",""
100103,100105,"Foxhill Centre","Parent",""
100103,100107,"Westcombe Centre","Parent",""
100103,100106,"Kings Park Centre","Parent",""
100112,143601,"Alderwood Primary School","Child","31-10-2016"
100130,143597,"Halstow Primary School","Child","31-10-2016"
100132,143598,"Horn Park Primary School","Child","31-10-2016"
100151,143593,"Rockliffe Manor Primary School","Child","31-10-2016"
100163,126584,"Mulgrave Infant and Nursery School","Parent",""
100163,126581,"Mulgrave Junior School","Parent",""
100164,126580,"Charlton Manor Infant School","Parent",""
100164,126579,"Charlton Manor Junior School","Parent",""
100172,144091,"St Mary's Catholic Primary School","Child","31-03-2017"
100218,126594,"Berger Infant School","Parent",""
100218,126593,"Berger Junior School","Parent",""
100224,126596,"De Beauvoir Junior School","Parent",""
100224,126597,"De Beauvoir Infant School","Parent",""
100231,126598,"Millfields Junior School","Parent",""
100231,126599,"Millfields Infant School","Parent",""
100239,126602,"Princess May Junior School","Parent",""
100239,126603,"Princess May Infants' School","Parent",""
100241,126605,"Shacklewell Infants' School","Parent",""
100241,126604,"Shacklewell Junior School","Parent",""
100248,100249,"Woodberry Down Community Primary School","Parent",""
100260,100217,"Benthal Primary School Infant Department","Parent",""
100311,100308,"Downsview School","Parent","31-08-2013"
100432,100433,"Ashmount Infant School","Parent",""
100434,100414,"Moorfields Primary School","Parent",""
100435,126633,"Hungerford Junior School","Parent",""
100435,126634,"Hungerford Infant School","Parent",""
100452,136138,"Islington Sixth Form Consortium","Sixth Form Centre Link","18-06-2010"
100455,136138,"Islington Sixth Form Consortium","Sixth Form Centre Link","18-06-2010"
100458,136138,"Islington Sixth Form Consortium","Sixth Form Centre Link","18-06-2010"
100459,136138,"Islington Sixth Form Consortium","Sixth Form Centre Link","12-08-2011"
100499,126640,"St Mary's RC Infant School","Parent",""
100499,126639,"St Mary's RC Junior School","Parent",""
100574,143236,"Kingswood Primary School","Child","31-08-2016"
100576,100575,"Lark Hall Junior School and Centre for Pupils With Autism","Parent",""
